CollegeName,CollegeUrl,CollegeLocation,Course1,Course1Fees,Course2,Course2Fees,CollegeRanking,CollegeRating
SRM Medical College Hospital and Research Centre - [SRM MCHRC],https://zollege.in/college/215663-srm-medical-college-hospital-and-research-centre-srm-mchrc-kanchipuram,"Kanchipuram, Tamil Nadu | MCI Accredited",MBBS,₹ 25.1 Lakhs,M.Ch,₹ 10.1 Lakhs,ranking 6 out of 30 in 2023,9/10 (1 Reviews)
International Institute of Hotel Management - [IIHM],https://zollege.in/college/167313-international-institute-of-hotel-management-iihm-ahmedabad,"Ahmedabad, Gujarat",BHM,₹ 1.88 Lakhs,,,ranking 63 out of 75 in 2023,
Nalla Malla Reddy Engineering College - [NMREC],https://zollege.in/college/173738-nalla-malla-reddy-engineering-college-nmrec-hyderabad,"Hyderabad, Telangana | AICTE, NBA Accredited",BE/B.Tech,₹ 95 K,ME/M.Tech,₹ 87.5 K,ranking 157 out of 281 in 2023,7.1/10 (8 Reviews)
Bharati Vidyapeethâ€™s College of Pharmacy - [BVCOP],https://zollege.in/college/217222-bharati-vidyapeeths-college-of-pharmacy-bvcop-navi-mumbai,"Navi Mumbai, Maharashtra | AICTE, PCI Accredited",B.Pharm,₹ 1.55 Lakhs,M.Pharm,₹ 2 Lakhs,NIRFranking 103 out of 125 in 2023,
Vidya Jyothi Institute of Technology - [VJIT],https://zollege.in/college/183914-vidya-jyothi-institute-of-technology-vjit-hyderabad,"Hyderabad, Telangana | AICTE, NBA Accredited",BE/B.Tech,₹ 1.26 Lakhs,ME/M.Tech,₹ 64.5 K,ranking 159 out of 281 in 2023,7.4/10 (11 Reviews)
"Faculty of Architecture, Dr. A. P. J. Abdul Kalam Technical University",https://zollege.in/college/216134-faculty-of-architecture-dr-a-p-j-abdul-kalam-technical-university-lucknow,"Lucknow, Uttar Pradesh | COA Accredited",B.Arch,₹ 90 K,M.Arch,₹ 76 K,ranking 20 out of 40 in 2023,
DCT’s Dhempe College of Arts and Science,https://zollege.in/college/160392-dcts-dhempe-college-of-arts-and-science-panji,"Panji, Goa",B.Sc,₹ 9.16 K,,,NIRFranking 151 out of 200 in 2022,
Shri Ram Murti Smarak College of Engineering and Technology - [SRMSCET],https://zollege.in/college/174414-shri-ram-murti-smarak-college-of-engineering-and-technology-srmscet-bareilly,"Bareilly, Uttar Pradesh | AICTE Accredited",BE/B.Tech,₹ 1.36 Lakhs,ME/M.Tech,₹ 1.35 Lakhs,ranking 160 out of 281 in 2023,8.7/10 (1 Reviews)
Amity School of Fashion Technology - [ASFT],https://zollege.in/college/166067-amity-school-of-fashion-technology-asft-noida,"Noida, Uttar Pradesh | AICTE Accredited",B.Des,₹ 1.52 Lakhs,M.Des,₹ 1.3 Lakhs,ranking 4 out of 25 in 2023,
Adichunchanagiri Institute of Medical Sciences - [AIMS],https://zollege.in/college/169544-adichunchanagiri-institute-of-medical-sciences-aims-mandya,"Mandya, Karnataka | MCI Accredited",PG Diploma in Medical,₹ 4.36 Lakhs,Diploma in Medical,₹ 4.36 Lakhs,ranking 7 out of 30 in 2023,5.5/10 (1 Reviews)
RVR and JC College of Engineering,https://zollege.in/college/173998-rvr-and-jc-college-of-engineering-guntur,"Guntur, Andhra Pradesh | AICTE Accredited",BE/B.Tech,₹ 69.4 K,ME/M.Tech,₹ 40 K,ranking 161 out of 281 in 2023,7.9/10 (25 Reviews)
GNVS Institute of Management - [GNVSIOM],https://zollege.in/college/216608-gnvs-institute-of-management-gnvsiom-mumbai,"Mumbai, Maharashtra | AICTE Accredited",MMS,₹ 3.5 Lakhs,,,TOIranking 82 out of 173 in 2022,
Tula's Institute,https://zollege.in/college/183857-tulas-institute-dehradun,"Dehradun, Uttarakhand | AICTE Accredited",BE/B.Tech,₹ 1.13 Lakhs,ME/M.Tech,₹ 91.5 K,ranking 162 out of 281 in 2023,7.1/10 (12 Reviews)
Institute of Advanced Management - [IAM],https://zollege.in/college/167305-institute-of-advanced-management-iam-kolkata,"Kolkata, West Bengal",BHM,₹ 1.3 Lakhs,UG Diploma in HM,₹ 70 K,ranking 64 out of 75 in 2023,
Gurunanak Institute of Dental Science and Research,https://zollege.in/college/166949-gurunanak-institute-of-dental-science-and-research-kolkata,"Kolkata, West Bengal | DCI Accredited",BDS,₹ 2.3 Lakhs,MDS,₹ 2.8 Lakhs,NIRFranking 40 out of 40 in 2022,
St Aloysius College,https://zollege.in/college/164214-st-aloysius-college-jabalpur,"Jabalpur, Madhya Pradesh | UGC Accredited",B.Sc,₹ 18.5 K,M.Sc,₹ 14 K,ranking 121 out of 146 in 2021,6.4/10 (4 Reviews)
United College of Engineering & Research - [UCER],https://zollege.in/college/188183-united-college-of-engineering-and-research-ucer-allahabad,"Allahabad, Uttar Pradesh | AICTE Accredited",BE/B.Tech,₹ 82.03 K,ME/M.Tech,₹ 98.93 K,ranking 163 out of 281 in 2023,8/10 (4 Reviews)
Central Rice Research Institute,https://zollege.in/college/165869-central-rice-research-institute-cuttack,"Cuttack, Orissa",M.Phil/Ph.D in Agriculture,No Fees Found,,,,
BVRIT Hyderabad College of Engineering for Women - [BVRITH],https://zollege.in/college/187802-bvrit-hyderabad-college-of-engineering-for-women-bvrith-hyderabad,"Hyderabad, Telangana | AICTE, UGC, NBA Accredited",BE/B.Tech,₹ 1.29 Lakhs,ME/M.Tech,₹ 64.5 K,ranking 164 out of 281 in 2023,8.3/10 (10 Reviews)
KLS Institute of Management Education & Research - [KLS IMER],https://zollege.in/college/215199-kls-institute-of-management-education-and-research-kls-imer-belgaum,"Belgaum, Karnataka | AICTE Accredited",MBA/PGDM,₹ 50 K,,,TOIranking 85 out of 173 in 2022,
"Meenakshi Medical College and Research Institute, Maher University",https://zollege.in/college/170053-meenakshi-medical-college-and-research-institute-maher-university-kanchipuram,"Kanchipuram, Tamil Nadu | RCI Accredited",MD,₹ 3.15 Lakhs,MS,₹ 36.15 Lakhs,ranking 13 out of 30 in 2023,
Hindusthan Institute of Technology - [HITECH],https://zollege.in/college/173049-hindusthan-institute-of-technology-hitech-coimbatore,"Coimbatore, Tamil Nadu | AICTE, NBA Accredited",BE/B.Tech,No Fees Found,ME/M.Tech,No Fees Found,ranking 165 out of 281 in 2023,7.8/10 (4 Reviews)
Hindustan College of Arts and Science - [HCAS],https://zollege.in/college/183389-hindustan-college-of-arts-and-science-hcas-chennai,"Chennai, Tamil Nadu",B.Sc,₹ 81 K,M.Sc,₹ 18.5 K,ranking 71 out of 146 in 2021,8/10 (2 Reviews)
Maharishi Markandeshwar Engineering College - [MMEC],https://zollege.in/college/216464-maharishi-markandeshwar-engineering-college-mmec-ambala,"Ambala, Haryana | AICTE, UGC, NBA Accredited",BE/B.Tech,₹ 1.42 Lakhs,ME/M.Tech,₹ 1.14 Lakhs,ranking 166 out of 281 in 2023,8.7/10 (1 Reviews)
Gyan Ganga Institute of Technology and Sciences - [GGITS],https://zollege.in/college/188045-gyan-ganga-institute-of-technology-and-sciences-ggits-jabalpur,"Jabalpur, Madhya Pradesh | AICTE, NBA Accredited",BE/B.Tech,₹ 70 K,ME/M.Tech,₹ 60 K,ranking 168 out of 281 in 2023,8/10 (13 Reviews)
Geethanjali College of Pharmacy Keesara,https://zollege.in/college/217509-geethanjali-college-of-pharmacy-keesara-hyderabad,"Hyderabad, Telangana | AICTE, PCI Accredited",B.Pharm,₹ 55.5 K,M.Phil/Ph.D in Pharmacy,₹ 95.5 K,NIRFranking 106 out of 125 in 2023,8/10 (1 Reviews)
UEI Global Rohini,https://zollege.in/college/217330-uei-global-rohini-new-delhi,"New Delhi, Delhi NCR",BHM,₹ 5.42 Lakhs,Diploma in Hotel Management,₹ 2.56 Lakhs,ranking 65 out of 75 in 2023,
"Jagran Lakecity University, School of Engineering and Technology",https://zollege.in/college/217995-jagran-lakecity-university-school-of-engineering-and-technology-bhopal,"Bhopal, Madhya Pradesh | AICTE Accredited",BCA,₹ 1.2 Lakhs,MCA,₹ 85 K,ranking 169 out of 281 in 2023,
Woxsen School of Arts and Design,https://zollege.in/college/218738-woxsen-school-of-arts-and-design-hyderabad,"Hyderabad, Telangana | AICTE Accredited",B.Des,₹ 3.64 Lakhs,,,IIRFranking 2 out of 40 in 2024,
Sri Muthukumaran Medical College Hospital and Research Institute - [SMMCHRI],https://zollege.in/college/170370-sri-muthukumaran-medical-college-hospital-and-research-institute-smmchri-chennai,"Chennai, Tamil Nadu | MCI Accredited",MBBS,₹ 4 Lakhs,,,ranking 14 out of 30 in 2023,6.3/10 (1 Reviews)
"Institute of Law, Nirma University - [ILNU]",https://zollege.in/college/216288-institute-of-law-nirma-university-ilnu-ahmedabad,"Ahmedabad, Gujarat",LLM,₹ 1.3 Lakhs,LLB,₹ 3.39 Lakhs,ranking 21 out of 70 in 2023,1/10 (1 Reviews)
CMR Technical Campus - [CMRTC],https://zollege.in/college/216250-cmr-technical-campus-cmrtc-hyderabad,"Hyderabad, Telangana | AICTE, NBA Accredited",ME/M.Tech,₹ 67.5 K,BE/B.Tech,₹ 80 K,ranking 170 out of 281 in 2023,7.1/10 (36 Reviews)
Prasad V. Potluri Siddhartha Institute of Technology - [PVPSIT],https://zollege.in/college/173908-prasad-v-potluri-siddhartha-institute-of-technology-pvpsit-vijayawada,"Vijayawada, Andhra Pradesh | AICTE, NBA Accredited",BE/B.Tech,₹ 2.8 Lakhs,ME/M.Tech,₹ 1.4 Lakhs,ranking 172 out of 281 in 2023,7.4/10 (3 Reviews)
Meenakshi Academy of Higher Education and Research - [MAHER],https://zollege.in/university/185209-meenakshi-academy-of-higher-education-and-research-maher-chennai,"Chennai, Tamil Nadu | UGC Accredited",Bachelor of Physiotherapy(BPT),₹ 1.4 Lakhs,B.Sc (Medicine),₹ 1.3 Lakhs,NIRFranking 137 out of 201 in 2023,9.3/10 (1 Reviews)
Girijananda Chowdhury Institute of Pharmaceutical Science - [GIPS],https://zollege.in/college/219486-girijananda-chowdhury-institute-of-pharmaceutical-science-gips-guwahati,"Guwahati, Assam | AICTE, PCI, NBA Accredited",B.Pharm,₹ 1.76 Lakhs,M.Pharm,₹ 1.94 Lakhs,NIRFranking 107 out of 125 in 2023,
Sagar Institute of Research and Technology - [SIRT],https://zollege.in/college/174207-sagar-institute-of-research-and-technology-sirt-bhopal,"Bhopal, Madhya Pradesh | AICTE Accredited",BE/B.Tech,₹ 74 K,ME/M.Tech,₹ 60 K,ranking 173 out of 281 in 2023,6.6/10 (19 Reviews)
Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya - [RVSKVV],https://zollege.in/university/185003-rajmata-vijayaraje-scindia-krishi-vishwa-vidyalaya-rvskvv-gwalior,"Gwalior, Madhya Pradesh | ICAR, UGC Accredited",M.Sc (Agriculture),₹ 27.62 K,M.Phil/Ph.D in Agriculture,₹ 20.8 K,,
The Oxford College of Business Management,https://zollege.in/college/178342-the-oxford-college-of-business-management-bangalore,"Bangalore, Karnataka | AICTE Accredited",BBA/BBM,₹ 50 K,MBA/PGDM,₹ 70 K,ranking 60 out of 178 in 2021,
Alvas College of Physiotherapy and Research Center,https://zollege.in/college/215736-alvas-college-of-physiotherapy-and-research-center-moodbidri,"Moodbidri, Karnataka | IAP Accredited",Bachelor of Physiotherapy(BPT),₹ 1 Lakhs,Master of Physiotherapy(MPT),₹ 1.2 Lakhs,,
Trident Academy of Technology,https://zollege.in/college/188171-trident-academy-of-technology-bhubaneswar,"Bhubaneswar, Orissa | AICTE, NBA Accredited",BE/B.Tech,₹ 1.08 Lakhs,ME/M.Tech,₹ 72 K,ranking 174 out of 281 in 2023,6.7/10 (17 Reviews)
Symbiosis Medical College for Women - [SMCW],https://zollege.in/college/220708-symbiosis-medical-college-for-women-smcw-pune,"Pune, Maharashtra | MCI Accredited",MBBS,₹ 1.5 Lakhs,,,ranking 16 out of 30 in 2023,8.7/10 (3 Reviews)
International Institute of Hotel Management - [IIHM],https://zollege.in/college/167310-international-institute-of-hotel-management-iihm-jaipur,"Jaipur, Rajasthan",BHM,₹ 1.3 Lakhs,UG Diploma in HM,₹ 90 K,ranking 66 out of 75 in 2023,
CMR Institute of Technology - [CMRIT],https://zollege.in/college/183221-cmr-institute-of-technology-cmrit-hyderabad,"Hyderabad, Telangana | AICTE, NBA Accredited",BE/B.Tech,₹ 70 K,ME/M.Tech,₹ 72.5 K,ranking 175 out of 281 in 2023,7.7/10 (59 Reviews)
Gokaraju Rangaraju College of Pharmacy - [GRCP],https://zollege.in/college/168771-gokaraju-rangaraju-college-of-pharmacy-grcp-hyderabad,"Hyderabad, Telangana | AICTE, PCI, NBA Accredited",B.Pharm,₹ 84.5 K,M.Pharm,₹ 1.18 Lakhs,NIRFranking 108 out of 125 in 2023,
Malla Reddy Engineering College for Women - [MRECW],https://zollege.in/college/188071-malla-reddy-engineering-college-for-women-mrecw-secunderabad,"Secunderabad, Telangana | AICTE Accredited",BE/B.Tech,₹ 95 K,ME/M.Tech,₹ 64.5 K,ranking 176 out of 281 in 2023,9/10 (10 Reviews)
Smt. Manoramabai Mundle College of Architecture - [SMMCA],https://zollege.in/college/214270-smt-manoramabai-mundle-college-of-architecture-smmca-nagpur,"Nagpur, Maharashtra | COA Accredited",B.Arch,₹ 1.1 Lakhs,M.Arch,₹ 79.58 K,ranking 23 out of 40 in 2023,
Hallmark Business School - [HBS],https://zollege.in/college/177084-hallmark-business-school-hbs-tiruchirappalli,"Tiruchirappalli, Tamil Nadu | AICTE Accredited",MBA/PGDM,₹ 80 K,,,ranking 222 out of 284 in 2019,
Haridwar University,https://zollege.in/university/214430-haridwar-university-roorkee,"Roorkee, Uttarakhand | AICTE, PCI, MHRD Accredited",BE/B.Tech,₹ 4.97 Lakhs,ME/M.Tech,₹ 1.48 Lakhs,ranking 145 out of 246 in 2023,7.7/10 (16 Reviews)
H. A. College of Commerce - [HACC],https://zollege.in/college/216172-h-a-college-of-commerce-hacc-ahmedabad,"Ahmedabad, Gujarat",M.Com,₹ 2.84 K,,,ranking 79 out of 225 in 2023,
MAEER'S MIT Polytechnic,https://zollege.in/college/219887-maeers-mit-polytechnic-pune,"Pune, Maharashtra | AICTE Accredited",Diploma in Engineering,₹ 58 K,,,,
Bhaarath Medical College and Hospital - [BMCH],https://zollege.in/college/222360-bhaarath-medical-college-and-hospital-bmch-chennai,"Chennai, Tamil Nadu | MCI Accredited",MBBS,₹ 23.63 Lakhs,,,ranking 17 out of 30 in 2023,
Dr. D. Y. Patil School of Engineering - [DYPSOE],https://zollege.in/college/218203-dr-d-y-patil-school-of-engineering-dypsoe-pune,"Pune, Maharashtra | AICTE Accredited",BE/B.Tech,₹ 1.05 Lakhs,ME/M.Tech,₹ 77.52 K,ranking 178 out of 281 in 2023,7.7/10 (3 Reviews)
V.L.B. Janakiammal College of Arts and Science - [VLBJCAS],https://zollege.in/college/216808-vlb-janakiammal-college-of-arts-and-science-vlbjcas-coimbatore,"Coimbatore, Tamil Nadu | AICTE, UGC Accredited",B.Sc,₹ 25 K,M.Sc,₹ 17 K,ranking 111 out of 120 in 2020,5.5/10 (1 Reviews)
Gupta College of Technological Sciences - [GCTS],https://zollege.in/college/217276-gupta-college-of-technological-sciences-gcts-asansol,"Asansol, West Bengal | AICTE, PCI Accredited",B.Pharm,₹ 1.27 Lakhs,M.Pharm,₹ 1.39 Lakhs,NIRFranking 109 out of 125 in 2023,7.7/10 (2 Reviews)
ICFAI Law School,https://zollege.in/college/214371-icfai-law-school-hyderabad,"Hyderabad, Telangana | BCI Accredited",LLM,₹ 1.3 Lakhs,Graduate Certificate in Law,₹ 12 K,ranking 22 out of 70 in 2023,6.3/10 (1 Reviews)
BV Raju Institute of Technology - [BVRIT],https://zollege.in/college/183648-bv-raju-institute-of-technology-bvrit-hyderabad,"Hyderabad, Telangana | AICTE Accredited",BE/B.Tech,₹ 1.2 Lakhs,ME/M.Tech,₹ 77.5 K,ranking 179 out of 281 in 2023,7/10 (11 Reviews)
International Institute of Hotel Management - [IIHM],https://zollege.in/college/167309-international-institute-of-hotel-management-iihm-pune,"Pune, Maharashtra",Certificate in Hotel Management,No Fees Found,BHM,No Fees Found,ranking 67 out of 75 in 2023,5.5/10 (1 Reviews)
Central Institute of Business Management Research & Development - [CIBMRD],https://zollege.in/college/216957-central-institute-of-business-management-research-and-development-cibmrd-nagpur,"Nagpur, Maharashtra | AICTE Accredited",BBA/BBM,₹ 18 K,MBA/PGDM,₹ 80 K,ranking 97 out of 200 in 2023,
"Chettinad College of Dental & Research Institute, The Tamil Nadu Dr.MGR medical university",https://zollege.in/college/215642-chettinad-college-of-dental-and-research-institute-the-tamil-nadu-drmgr-medical-university-kanchipuram,"Kanchipuram, Tamil Nadu",BDS,₹ 2.68 Lakhs,MDS,₹ 3.51 Lakhs,NIRFranking 27 out of 40 in 2023,
Amity University,https://zollege.in/university/185118-amity-university-jaipur,"Jaipur, Rajasthan | AICTE, RCI, COA, BCI, UGC Accredited",M.Sc,₹ 50 K,B.Sc,₹ 1.04 Lakhs,NIRFranking 152 out of 201 in 2023,7.2/10 (9 Reviews)
Sanjivani College of Engineering Kopargaon,https://zollege.in/college/174244-sanjivani-college-of-engineering-kopargaon-ahmed-nagar,"Ahmed Nagar, Maharashtra | AICTE, NBA Accredited",BE/B.Tech,₹ 1.4 Lakhs,ME/M.Tech,₹ 1.35 Lakhs,ranking 180 out of 281 in 2023,7.1/10 (13 Reviews)
Agriculture University - [AU],https://zollege.in/university/214185-agriculture-university-au-jodhpur,"Jodhpur, Rajasthan | ICAR Accredited",M.Sc (Agriculture),₹ 4.05 K,,,,8.7/10 (1 Reviews)
MLR Institute of Technology - [MLRIT],https://zollege.in/college/217515-mlr-institute-of-technology-mlrit-hyderabad,"Hyderabad, Telangana | AICTE, NBA Accredited",BE/B.Tech,₹ 96 K,ME/M.Tech,₹ 67.5 K,ranking 181 out of 281 in 2023,7.9/10 (41 Reviews)
CMR University - [CMRU],https://zollege.in/university/215421-cmr-university-cmru-bangalore,"Bangalore, Karnataka | UGC, AIU Accredited",BA,₹ 75 K,MA,₹ 90 K,ranking 281 out of 281 in 2023,6.4/10 (6 Reviews)
JIS University,https://zollege.in/university/216721-jis-university-kolkata,"Kolkata, West Bengal | NCTE, AICTE, PCI, BCI, UGC Accredited",B.Sc,₹ 2.06 Lakhs,M.Sc,₹ 92.3 K,ranking 40 out of 50 in 2020,7/10 (10 Reviews)
Sree Lakshmi Narayana Institute of Medical Sciences,https://zollege.in/college/170352-sree-lakshmi-narayana-institute-of-medical-sciences-pondicherry,"Pondicherry, Puducherry | MCI Accredited",B.Sc (Medicine),₹ 75 K,MBBS,₹ 21.5 Lakhs,ranking 18 out of 30 in 2023,
Medi-Caps University,https://zollege.in/university/215776-medicaps-university-indore,"Indore, Madhya Pradesh | AICTE, PCI, ICAR, UGC Accredited",BE/B.Tech,₹ 1.8 Lakhs,ME/M.Tech,₹ 75 K,ranking 182 out of 281 in 2023,7.2/10 (38 Reviews)
Jagran Lake City Business School,https://zollege.in/college/217989-jagran-lake-city-business-school-bhopal,"Bhopal, Madhya Pradesh | NCTE, AICTE, UGC Accredited",BBA/BBM,₹ 1.8 Lakhs,MBA/PGDM,₹ 2.2 Lakhs,ranking 130 out of 178 in 2021,
Hindusthan College of Arts and Science- [HICAS],https://zollege.in/college/161230-hindusthan-college-of-arts-and-science-hicas-coimbatore,"Coimbatore, Tamil Nadu | AICTE Accredited",B.Sc,₹ 70 K,M.Sc,₹ 30 K,NIRFranking 101 out of 200 in 2023,8.3/10 (1 Reviews)
SNS College of Technology - [SNSCT],https://zollege.in/college/174492-sns-college-of-technology-snsct-coimbatore,"Coimbatore, Tamil Nadu | AICTE Accredited",BE/B.Tech,₹ 2.2 Lakhs,ME/M.Tech,₹ 1 Lakhs,ranking 183 out of 281 in 2023,8.1/10 (5 Reviews)
AISSMS Institute of Information Technology,https://zollege.in/college/172101-aissms-institute-of-information-technology-pune,"Pune, Maharashtra | AICTE Accredited",BE/B.Tech,₹ 1.19 Lakhs,ME/M.Tech,₹ 59.38 K,ranking 184 out of 281 in 2023,7.4/10 (3 Reviews)
Presidency College,https://zollege.in/college/162798-presidency-college-bangalore,"Bangalore, Karnataka | AICTE Accredited",MBA/PGDM,₹ 2 Lakhs,BBA/BBM,₹ 1.3 Lakhs,ranking 15 out of 146 in 2021,7.6/10 (9 Reviews)
KLE University's College of Pharmacy,https://zollege.in/college/216377-kle-universitys-college-of-pharmacy-bangalore,"Bangalore, Karnataka | AICTE, NBA Accredited",B.Pharm,₹ 1.27 Lakhs,M.Pharm,₹ 1.25 Lakhs,NIRFranking 112 out of 125 in 2023,
Vidya Jyoti Eduversity,https://zollege.in/college/221898-vidya-jyoti-eduversity-chandigarh,"Chandigarh, Chandigarh",BHM,₹ 94 K,MHM,₹ 82 K,ranking 68 out of 75 in 2023,
Apeejay Institute of Design - [AID],https://zollege.in/college/165376-apeejay-institute-of-design-aid-new-delhi,"New Delhi, Delhi NCR | AICTE, UGC Accredited",B.Des,₹ 1.8 Lakhs,PG Diploma in Design,₹ 2.65 Lakhs,IIRFranking 4 out of 40 in 2024,5.3/10 (1 Reviews)
Dayananda Sagar Business Academy - [DSBA],https://zollege.in/college/175050-dayananda-sagar-business-academy-dsba-bangalore,"Bangalore, Karnataka",BBA/BBM,No Fees Found,,,ranking 48 out of 146 in 2021,
Maharishi Markandeshwar Institute of Medical Sciences & Research - [MMIMSR],https://zollege.in/college/216470-maharishi-markandeshwar-institute-of-medical-sciences-and-research-mmimsr-ambala,"Ambala, Haryana | MCI Accredited",MBBS,₹ 15.43 Lakhs,MD,₹ 20.11 Lakhs,ranking 19 out of 30 in 2023,
Loyola Academy Degree and PG College,https://zollege.in/college/161915-loyola-academy-degree-and-pg-college-secunderabad,"Secunderabad, Telangana | UGC Accredited",M.Sc,₹ 36.24 K,B.Sc,₹ 40.4 K,NIRFranking 151 out of 200 in 2023,8/10 (7 Reviews)
Vishnu Institute of Technology - [VIT],https://zollege.in/college/178524-vishnu-institute-of-technology-vit-bhimavaram,"Bhimavaram, Andhra Pradesh | AICTE, NBA Accredited",BE/B.Tech,₹ 60 K,ME/M.Tech,₹ 59.85 K,ranking 186 out of 281 in 2023,7.5/10 (48 Reviews)
Kalaignar karunanidhi Institute of Technology - [KIT],https://zollege.in/college/183462-kalaignar-karunanidhi-institute-of-technology-kit-coimbatore,"Coimbatore, Tamil Nadu | AICTE, NBA Accredited",BE/B.Tech,₹ 2 Lakhs,ME/M.Tech,₹ 50 K,ranking 187 out of 281 in 2023,7.9/10 (4 Reviews)
Prestige Institute of Management and Research,https://zollege.in/college/177773-prestige-institute-of-management-and-research-dewas,"Dewas, Madhya Pradesh",BBA/BBM,₹ 36 K,MBA/PGDM,₹ 80 K,ranking 45 out of 146 in 2021,
Government Dental College & Hospital,https://zollege.in/college/166943-government-dental-college-and-hospital-aurangabad,"Aurangabad, Maharashtra | DCI Accredited",BDS,₹ 69.75 K,,,ranking 17 out of 61 in 2023,
KMCH College of Pharmacy,https://zollege.in/college/214829-kmch-college-of-pharmacy-coimbatore,"Coimbatore, Tamil Nadu | AICTE, PCI Accredited",B.Pharm,₹ 1.12 Lakhs,M.Pharm,₹ 1.14 Lakhs,NIRFranking 113 out of 125 in 2023,
Asian College of Journalism - [ACJ],https://zollege.in/college/166601-asian-college-of-journalism-acj-chennai,"Chennai, Tamil Nadu",PG Diploma in Mass Communication,₹ 7.08 Lakhs,,,The Weekranking 3 out of 29 in 2023,
K. Ramakrishnan College of Engineering -[KRCE],https://zollege.in/college/214772-k-ramakrishnan-college-of-engineering-krce-tiruchirappalli,"Tiruchirappalli, Tamil Nadu | AICTE, NBA Accredited",BE/B.Tech,₹ 2 Lakhs,ME/M.Tech,₹ 30 K,ranking 188 out of 281 in 2023,9.2/10 (2 Reviews)
Birsa Agricultural University - [BAU],https://zollege.in/university/184899-birsa-agricultural-university-bau-ranchi,"Ranchi, Jharkhand | UGC Accredited",B.Sc (Agriculture),₹ 13.5 K,M.Sc (Agriculture),₹ 15.5 K,,
Coimbatore Institute of Management and Technology - [CIMAT],https://zollege.in/college/183262-coimbatore-institute-of-management-and-technology-cimat-coimbatore,"Coimbatore, Tamil Nadu",MBA/PGDM,₹ 1.46 Lakhs,M.Phil/Ph.D in Management,₹ 15 K,ranking 179 out of 284 in 2019,
Walchand College of Arts and Science-[WCAS],https://zollege.in/college/222323-walchand-college-of-arts-and-sciencewcas-solapur,"Solapur, Maharashtra | AICTE, UGC Accredited",B.Sc,₹ 61.03 K,M.Sc,₹ 39.57 K,ranking 111 out of 197 in 2023,
JB Institute of Technology - [JBIT],https://zollege.in/college/187789-jb-institute-of-technology-jbit-dehradun,"Dehradun, Uttarakhand | AICTE, MHRD Accredited",BE/B.Tech,₹ 2.48 Lakhs,Diploma in Engineering,₹ 37.8 K,ranking 189 out of 281 in 2023,9/10 (3 Reviews)
Netaji Subhash Chandra Bose Subharti Medical College,https://zollege.in/college/216529-netaji-subhash-chandra-bose-subharti-medical-college-meerut,"Meerut, Uttar Pradesh",M.Sc (Medicine),₹ 15.72 Lakhs,PG Diploma in Medical,₹ 8.64 Lakhs,ranking 20 out of 30 in 2023,6.5/10 (1 Reviews)
M. Kumarasamy College of Engineering - [MKCE],https://zollege.in/college/173465-m-kumarasamy-college-of-engineering-mkce-karur,"Karur, Tamil Nadu | AICTE, UGC, NBA Accredited",BE/B.Tech,₹ 2.2 Lakhs,ME/M.Tech,₹ 50 K,ranking 190 out of 281 in 2023,
Krupanidhi College of Pharmacy - [KCP],https://zollege.in/college/168934-krupanidhi-college-of-pharmacy-kcp-bangalore,"Bangalore, Karnataka | AICTE, PCI Accredited",M.Pharm,₹ 1.03 Lakhs,B.Pharm,₹ 2 Lakhs,NIRFranking 114 out of 125 in 2023,10/10 (1 Reviews)
DAV College,https://zollege.in/college/160210-dav-college-amritsar,"Amritsar, Punjab | UGC Accredited",BA,₹ 24.69 K,MA,₹ 20.29 K,,
Chandigarh Group of Colleges - [CGC] Jhanjeri,https://zollege.in/college/216671-chandigarh-group-of-colleges-cgc-jhanjeri-mohali,"Mohali, Punjab | AICTE Accredited",BE/B.Tech,₹ 1.35 Lakhs,,,ranking 191 out of 281 in 2023,7.1/10 (29 Reviews)
G. Pulla Reddy Engineering College - [GPREC],https://zollege.in/college/172801-g-pulla-reddy-engineering-college-gprec-kurnool,"Kurnool, Andhra Pradesh | AICTE, UGC, NBA Accredited",BE/B.Tech,₹ 80 K,ME/M.Tech,₹ 80 K,ranking 192 out of 281 in 2023,8.1/10 (30 Reviews)
World University of Design - [WUD],https://zollege.in/university/217421-world-university-of-design-wud-sonepat,"Sonepat, Haryana | AICTE, COA Accredited",B.Des,₹ 2.64 Lakhs,M.Des,₹ 2.75 Lakhs,IIRFranking 14 out of 40 in 2024,
St. Xavier's College for Women,https://zollege.in/college/164296-st-xaviers-college-for-women-aluva,"Aluva, Kerala",BA,₹ 2.81 K,MA,₹ 3.52 K,NIRFranking 151 out of 200 in 2023,
Mahatma Gandhi Institute of Medical Sciences - [MGIMS],https://zollege.in/college/170021-mahatma-gandhi-institute-of-medical-sciences-mgims-wardha,"Wardha, Maharashtra",M.Phil/Ph.D in Medicine,₹ 75.2 K,PG Diploma in Medical,₹ 92.9 K,ranking 26 out of 55 in 2021,7.2/10 (3 Reviews)
Vidyavardhaka College of Engineering - [VVCE],https://zollege.in/college/178494-vidyavardhaka-college-of-engineering-vvce-mysore,"Mysore, Karnataka | AICTE, NBA Accredited",BE/B.Tech,₹ 2.45 Lakhs,ME/M.Tech,₹ 1.12 Lakhs,ranking 193 out of 281 in 2023,8.6/10 (4 Reviews)
