CollegeName,CollegeUrl,CollegeLocation,Course1,Course1Fees,Course2,Course2Fees,CollegeRanking,CollegeRating
Dr. Hari singh Gour University,https://zollege.in/university/184984-dr-hari-singh-gour-university-sagar,"Sagar, Madhya Pradesh | AICTE, UGC Accredited",BA,₹ 4.3 K,MA,₹ 5.55 K,NIRFranking 151 out of 200 in 2020,6.9/10 (13 Reviews)
Satyug Darshan Institute of Engineering & Technology - [SDIET],https://zollege.in/college/217332-satyug-darshan-institute-of-engineering-and-technology-sdiet-faridabad,"Faridabad, Haryana | AICTE Accredited",BE/B.Tech,₹ 81.33 K,,,,5.2/10 (2 Reviews)
Homi Bhabha National Institute - [HBNI],https://zollege.in/university/185023-homi-bhabha-national-institute-hbni-mumbai,"Mumbai, Maharashtra | MHRD Accredited",MD,₹ 30 K,,,NIRFranking 17 out of 201 in 2023,
ITM Institute of Hotel Management - [ITM-IHM],https://zollege.in/college/218707-itm-institute-of-hotel-management-itmihm-mumbai,"Mumbai, Maharashtra | UGC Accredited",BHM,₹ 2.21 Lakhs,,,ranking 35 out of 50 in 2019,9.7/10 (1 Reviews)
Guru Nanak Dev University Regional Campus - [GNDU],https://zollege.in/university/219633-guru-nanak-dev-university-regional-campus-gndu-jalandhar,"Jalandhar, Punjab | UGC Accredited",BE/B.Tech,₹ 1.19 Lakhs,ME/M.Tech,₹ 1.22 Lakhs,,
Nanded Pharmacy College,https://zollege.in/college/169039-nanded-pharmacy-college-nanded,"Nanded, Maharashtra | PCI Accredited",B.Pharm,₹ 84 K,M.Pharm,₹ 96.5 K,,
Nirma University - [NU],https://zollege.in/university/184824-nirma-university-nu-ahmedabad,"Ahmedabad, Gujarat | UGC, NBA, AIU Accredited",BE/B.Tech,₹ 1.97 Lakhs,ME/M.Tech,₹ 2.65 Lakhs,NIRFranking 138 out of 201 in 2023,7.6/10 (23 Reviews)
Indian Institute of Science Education and Research - [IISER],https://zollege.in/college/168829-indian-institute-of-science-education-and-research-iiser-mohali,"Mohali, Punjab | AICTE Accredited",B.Sc,₹ 75.4 K,M.Sc,₹ 75.4 K,NIRFranking 51 out of 200 in 2023,7.7/10 (1 Reviews)
Shri. Chetan Manju Desai College,https://zollege.in/college/221960-shri-chetan-manju-desai-college-cancona,"Cancona, Goa",BA,₹ 8.43 K,,,ranking 148 out of 173 in 2023,
GLA University,https://zollege.in/university/185260-gla-university-mathura,"Mathura, Uttar Pradesh | NCTE, AICTE, PCI, BCI, UGC Accredited",BE/B.Tech,₹ 1.83 Lakhs,Diploma in Engineering,₹ 72 K,NIRFranking 116 out of 201 in 2023,7.8/10 (85 Reviews)
AISECT University,https://zollege.in/university/218198-aisect-university-hazaribagh,"Hazaribagh, Jharkhand | NCTE, AICTE, BCI, UGC Accredited",MA,₹ 17 K,BA,₹ 15 K,The Weekranking 85 out of 85 in 2023,7/10 (1 Reviews)
Thanjavur Medical College,https://zollege.in/college/215070-thanjavur-medical-college-thanjavur,"Thanjavur, Tamil Nadu | MCI Accredited",Graduate Diploma in Medical,₹ 20 K,UG Diploma in Medical,₹ 20 K,,6/10 (1 Reviews)
Vellore Institute of Technology - [VIT],https://zollege.in/university/216186-vellore-institute-of-technology-vit-chennai,"Chennai, Tamil Nadu | UGC, MHRD Accredited",BE/B.Tech,₹ 1.98 Lakhs,ME/M.Tech,₹ 1.93 Lakhs,,7.9/10 (53 Reviews)
